seq,sqcand,n,nm,cc,nv,e,st,dvt,vap,pvap,turno,totalizacao_final,uf
1,220000661439,25,PAULO DA REMAP,DEM - DEM / PDT,CLÁUDIO DA RONDO MOTOS,s,Eleito,Válido,5584,"  37,53",1,s,ro
5,220000824373,15,CELSO COELHO,MDB - PTB / MDB,AÉCIO,n,Não eleito,Válido,1193,"   8,02",1,s,ro
2,220000649456,25,SILAS BORGES,DEM - PDT / MDB / PL / DEM / PSB / PSDB / SOLIDARIEDADE / PROS / PSC / REPUBLICANOS,VANDÃO,n,Não eleito,Válido,4491,"  46,38",1,s,ro
1,220000881712,11,HELIO MENDES,PP - PP / PSD / PSL,ALTEME DA 13,s,Eleito,Válido,4537,"  46,86",1,s,ro
3,220000684711,13,PROFESSOR EMERSON,PT,NEUZA MACHADO,n,Não eleito,Válido,655,"   6,76",1,s,ro
1,220001200095,25,ALEX TESTONI,DEM - PROS / PODE / PDT / PSD / PSDB / REPUBLICANOS / DEM,DR PERAGIBE FELIX,s,Eleito,Válido,9961,"  50,74",1,s,ro
2,220000941426,15,VAGNO PANISOLY,MDB - MDB / PV / DC,ELIENAI POCIDÔNIO,n,Não eleito,Válido,9671,"  49,26",1,s,ro
1,220000773053,51,DELEGADO ARAUJO,PATRIOTA - PSL / PSB / PATRIOTA / REPUBLICANOS / DEM / PMN / PSDB,VALTEIR CRUZ,s,Eleito,Válido,13331," 100,00",1,s,ro
11,220001105767,14,LEONEL BERTOLIN,PTB - PTB / DC,DR. IVO BENITEZ,n,Não eleito,Válido,1624,"   0,74",1,s,ro
2,220001172317,11,CRISTIANE LOPES,PP - PP / PROS,DELEGADO PEDRO MANCEBO,s,2º turno,Válido,31461,"  14,32",1,s,ro
5,220001181050,77,CORONEL RONALDO FLORES,SOLIDARIEDADE - SOLIDARIEDADE / PV / PSB / PMN,PASTORA CILA,n,Não eleito,Válido,16750,"   7,62",1,s,ro
13,220001083155,50,PIMENTA DE RONDÔNIA,PSOL,PASTOR RAIMUNDO,n,Não eleito,Válido,1180,"   0,54",1,s,ro
14,220001273642,28,PASTOR LEONARDO LUZ,PRTB,ROMANO MOREY,n,Não eleito,Válido,741,"   0,34",1,s,ro
12,220000685117,65,SAMUEL COSTA,PC do B,PROFESSOR PANTERA,n,Não eleito,Válido,1229,"   0,56",1,s,ro
3,220001169383,23,VINICIUS MIGUEL,CIDADANIA - CIDADANIA / REDE / PDT,HELINE BRAGA,n,Não eleito,Válido,29369,"  13,36",1,s,ro
9,220001082524,17,SARGENTO EYDER BRASIL,PSL,TENENTE COSTA,n,Não eleito,Válido,5620,"   2,56",1,s,ro
6,220001081445,10,LINDOMAR GARÇON,REPUBLICANOS,CABO MILENE BARRETO,n,Não eleito,Válido,12061,"   5,49",1,s,ro
8,220001170262,13,RAMON CUJUI,PT,DR LHANO,n,Não eleito,Válido,7069,"   3,22",1,s,ro
1,220001051415,45,HILDON CHAVES,PSDB - PSD / PL / PSDB / DEM,MAURICIO CARVALHO,s,2º turno,Válido,74728,"  34,01",1,s,ro
10,220001138361,20,EDVALDO SOARES,PSC,ROSI MUNIZ,n,Não eleito,Válido,4154,"   1,89",1,s,ro
7,220001221000,15,PIMENTEL,MDB,MARCO ANTÔNIO,n,Não eleito,Válido,8195,"   3,73",1,s,ro
4,220001225148,70,DR. BRENO MENDES,AVANTE - PATRIOTA / AVANTE,PASTOR JOZINELIO,n,Não eleito,Válido,25270,"  11,50",1,s,ro
15,220000638048,16,GENECI GONÇALVES,PSTU,VITOR ROCHA,n,Não eleito,Válido,298,"   0,14",1,s,ro
4,220001227055,28,DR GILVAN DE CASTRO,PRTB - PT / PRTB,JORGE DO ZELÃO,n,Não eleito,Válido,442,"   4,19",1,s,ro
1,220001056527,45,EDILSON ALENCAR,PSDB - PSDB / MDB / DEM,ZÉ CARLOS DO MORUMBI,s,Eleito,Válido,5202,"  49,31",1,s,ro
3,220000927852,19,HANDERSON BRITO ,PODE - PODE / PROS / PSB,JADERSON COLARES,n,Não eleito,Válido,1261,"  11,95",1,s,ro
2,220001057737,55,TÓDINHA,PSD - PDT / PSL / SOLIDARIEDADE / PSD,TENENTE DANIEL,n,Não eleito,Válido,3645,"  34,55",1,s,ro
1,220000661798,55,LEZÃO,PSD - REPUBLICANOS / DEM / PSD,CASSIANE,s,Eleito,Válido,1613,"  62,86",1,s,ro
2,220000890308,15,EUDES,MDB - MDB / PP,TATU,n,Não eleito,Válido,828,"  32,27",1,s,ro
3,220000846936,12,DR AGUINALDO,PDT,ISAIAS BOTINHA,n,Não eleito,Válido,125,"   4,87",1,s,ro
5,220001057478,55,RAFAEL GODOI,PSD,DIEGO TASSI,n,Não eleito,Válido,2876,"  11,54",1,s,ro
4,220000858838,10,DR LAURO,REPUBLICANOS - REPUBLICANOS / PATRIOTA,JULIANO CAMPOS,n,Não eleito,Válido,3667,"  14,71",1,s,ro
1,220000859428,15,ALDO JULIO,MDB - PL / PTB / PDT / MDB,ALCIDES ROSA,s,Eleito,Válido,9064,"  36,36",1,s,ro
2,220000859779,19,UENDER NOGUEIRA,PODE - PODE / DC / PSL,SILMA PEREIRA,n,Não eleito,Válido,5186,"  20,81",1,s,ro
3,220001058827,77,PROFESSOR RODNEI PAES,SOLIDARIEDADE - DEM / PSB / PT / SOLIDARIEDADE,MARCIO MATEUS,n,Não eleito,Válido,4133,"  16,58",1,s,ro
1,220000773198,19,JURANDIR DE OLIVEIRA,PODE - PSD / DEM / PSB / PODE,NEY,s,Eleito,Válido,2755,"  55,29",1,s,ro
2,220000987854,51,PERITO VARK,PATRIOTA - MDB / PDT / PATRIOTA / REPUBLICANOS,PR NILSON,n,Não eleito,Válido,2228,"  44,71",1,s,ro
2,220001191485,20,ROSANI DONADON,PSC - MDB / DEM / PMN / PSC,MARCIA DEIRÓ,n,Não eleito,Válido,13882,"  33,47",1,s,ro
4,220000732017,10,PAULINHO DA ARGAMAZON,REPUBLICANOS,TENENTE BUENO,n,Não eleito,Válido,2547,"   6,14",1,s,ro
5,220000767236,40,MIGUEL CAMARA,PSB - PC do B / PSB / DC,ANA FEITOSA,n,Não eleito,Válido,952,"   2,29",1,s,ro
3,220000924296,19,CORONEL RILDO,PODE - PSL / PODE / CIDADANIA,DR. CELSO,n,Não eleito,Válido,7387,"  17,81",1,s,ro
1,220000955009,43,EDUARDO JAPONÊS,PV - PV / PDT / PL / PTB / PP / PSD / PSDB / PROS,PATRICIA DA GLÓRIA,s,Eleito,Válido,16714,"  40,29",1,s,ro
3,220001081287,13,DR. FÁBIO,PT,DIDA DA LINHA 82,n,Não eleito,Válido,2667,"  21,82",1,s,ro
4,220000724294,10,WILLIAMS OKAMOTO,REPUBLICANOS - PATRIOTA / REPUBLICANOS,EDUARDO MATAJUNTA,n,Não eleito,Válido,494,"   4,04",1,s,ro
1,220000646880,15,CORNELIO,MDB - MDB / CIDADANIA / PDT / DC / PSD,RONALDO,s,Eleito,Válido,5310,"  43,44",1,s,ro
